ReviewID,StudentUNI,OrderID,Rating,Comment,ReviewTime
1,FZ1636,10,1,A little undercooked.,2023-11-22 04:08:46
2,JF0959,14,3,Presentation was nice.,2023-11-26 07:56:17
3,ZJ7971,16,2,Would definitely buy again!,2023-11-22 11:25:04
4,RL9442,16,5,Tasty and filling.,2023-11-24 07:00:11
5,RW4620,28,4,Presentation was nice.,2023-11-24 13:28:11
6,NW6222,25,5,Perfectly cooked!,2023-11-26 21:31:42
7,MW7856,19,4,Too spicy for my taste.,2023-11-24 18:03:11
8,MB7924,15,5,Great value for the price.,2023-11-21 23:45:58
9,XI0857,7,3,Could use more seasoning.,2023-11-26 05:06:16
10,ZH7143,24,1,Could have been warmer.,2023-11-20 00:12:37
11,VT1938,4,5,Presentation was nice.,2023-11-25 18:03:10
12,MD3701,10,1,Could have been warmer.,2023-11-25 07:15:30
13,GO3081,22,3,Could have been warmer.,2023-11-25 14:59:40
14,SL3463,25,3,Great value for the price.,2023-11-24 00:36:16
15,KL3673,13,5,Portion size was perfect.,2023-11-21 13:46:41
16,YV2614,6,5,Loved the flavors!,2023-11-26 21:39:53
17,SV2261,30,2,Absolutely loved it!,2023-11-22 18:37:25
18,UO3941,24,3,Portion size was perfect.,2023-11-22 02:24:45
19,ET1717,27,2,Not what I expected.,2023-11-22 04:48:52
20,AC6899,21,2,Could use more seasoning.,2023-11-20 08:39:57
